TrialIndex,Subject,Congruence,ResponseTime,Correct
4916,14,2,674,1
4917,14,1,666,1
4918,14,2,634,1
4919,14,1,628,1
4920,14,2,685,1
4921,14,1,909,1
4922,14,1,915,1
4923,14,1,650,1
4924,14,1,450,1
4925,14,1,651,1
4926,14,2,636,1
4927,14,2,597,1
5024,14,2,642,1
5025,14,2,851,1
5026,14,2,644,1
5027,14,1,597,1
5028,14,2,672,1
5029,14,2,719,1
5030,14,1,565,1
5031,14,2,633,1
5032,14,1,722,1
5033,14,1,504,1
5034,14,2,527,1
5035,14,2,596,1
5036,14,1,599,1
5037,14,1,514,1
5038,14,2,712,1
5039,14,1,726,1
5040,14,2,747,1
5041,14,1,624,1
5042,14,1,962,1
5043,14,2,702,1
5044,14,1,581,1
5045,14,2,713,1
5046,14,1,727,1
5047,14,1,604,1
5048,14,2,783,1
5049,14,2,746,1
5050,14,1,919,1
5051,14,1,485,1
5052,14,1,565,1
5053,14,1,473,1
5054,14,2,657,1
5055,14,2,633,1
5152,14,1,504,1
5153,14,1,471,1
5154,14,1,599,1
5155,14,1,506,1
5156,14,1,1001,1
5157,14,2,715,1
5158,14,1,602,1
5159,14,1,644,1
5160,14,2,701,1
5161,14,2,652,1
5162,14,2,563,1
5163,14,1,600,1
5164,14,2,642,1
5165,14,2,683,1
5166,14,2,658,1
5167,14,1,611,1
5168,14,1,661,1
5169,14,2,613,1
5170,14,2,655,1
5171,14,2,664,1
5172,14,2,584,1
5173,14,1,652,1
5174,14,1,644,1
5175,14,2,861,1
5176,14,2,613,1
5177,14,2,1335,1
5178,14,2,533,1
5179,14,1,658,1
5180,14,2,827,1
5181,14,1,516,1
5182,14,1,539,1
5183,14,1,512,1
5280,14,2,600,0
5281,14,2,487,1
5282,14,1,543,1
5283,14,2,692,1
5284,14,1,564,1
5285,14,1,616,1
5286,14,1,594,1
5287,14,2,596,1
5288,14,2,623,1
5289,14,1,600,1
5290,14,2,579,1
5291,14,1,622,0
5292,14,1,621,1
5293,14,1,615,1
5294,14,1,521,1
5295,14,2,1079,1
5296,14,1,551,1
5297,14,2,715,1
5298,14,2,681,1
5299,14,2,609,1
5300,14,1,628,1
5301,14,2,533,1
5302,14,1,602,1
5303,14,1,597,1
5304,14,1,536,1
5305,14,2,853,1
5306,14,2,574,1
5307,14,2,626,1
5308,14,2,531,1
5309,14,1,585,1
5310,14,1,508,1
5311,14,2,611,1
5568,15,1,524,1
5569,15,2,570,1
5570,15,2,614,1
5571,15,1,480,1
5572,15,1,526,1
5573,15,1,580,1
5574,15,2,527,1
5575,15,1,540,1
5576,15,1,426,1
5577,15,1,419,1
5578,15,2,469,1
5579,15,2,541,1
5580,15,2,538,1
5581,15,1,464,1
5582,15,1,512,1
5583,15,2,550,1
5584,15,2,547,1
5585,15,2,599,1
5586,15,2,498,1
5587,15,1,441,1
5588,15,2,362,1
5589,15,1,382,1
5590,15,2,593,1
5591,15,2,516,1
5592,15,1,714,1
5593,15,1,440,1
5594,15,1,882,1
5595,15,2,2753,1
5596,15,2,1054,1
5597,15,1,511,1
5598,15,2,477,1
5599,15,1,797,1
5696,15,1,521,1
5697,15,2,655,1
5698,15,1,464,1
5699,15,1,616,1
5700,15,1,450,1
5701,15,2,618,1
5702,15,2,389,1
5703,15,2,496,1
5704,15,1,447,1
5705,15,1,479,1
5706,15,1,463,1
5707,15,1,487,1
5708,15,2,590,1
5709,15,1,449,1
5710,15,2,482,1
5711,15,1,553,1
5712,15,2,558,1
5713,15,1,747,1
5714,15,2,496,1
5715,15,1,614,1
5716,15,2,384,1
5717,15,1,444,1
5718,15,2,508,1
5719,15,1,467,1
5720,15,2,643,1
5721,15,1,460,1
5722,15,2,491,1
5723,15,2,475,1
5724,15,1,499,1
5725,15,2,417,1
5726,15,2,419,1
5727,15,2,349,1
5824,15,2,3022,1
5825,15,1,520,1
5826,15,2,542,1
5827,15,2,363,1
5828,15,2,447,1
5829,15,2,552,1
5830,15,1,405,1
5831,15,1,455,1
5832,15,1,424,1
5833,15,2,466,1
5834,15,1,410,1
5835,15,1,372,1
5836,15,1,392,0
5837,15,2,568,1
5838,15,1,460,1
5839,15,2,348,1
5840,15,1,592,1
5841,15,1,460,1
5842,15,2,524,1
5843,15,1,722,1
5844,15,1,368,1
5845,15,2,628,1
5846,15,1,525,1
5847,15,2,499,1
5848,15,2,394,1
5849,15,1,421,1
5850,15,2,543,1
5851,15,1,468,1
5852,15,2,404,1
5853,15,2,343,1
5854,15,2,420,1
5855,15,1,806,1
5952,15,1,426,1
5953,15,1,428,1
5954,15,2,541,1
5955,15,1,418,1
5956,15,1,364,1
5957,15,2,511,1
5958,15,2,405,1
5959,15,1,392,1
5960,15,2,347,0
5961,15,2,541,1
5962,15,1,474,1
